Initial Choice,Final Choice,Result,Stay Win Probability,Switch Win Probability
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
3,1,Win,0.38,0.62
